text,label,text_seg
m lên báo cáo tài chính hợp nhất đó mà xem! nói ra đã thấy mày óc chó ntn rồi! lũ thổ dân mồm vẩu!,2,m lên báo_cáo tài_chính hợp nhất đó mà xem ! nói ra đã thấy mày_óc chó ntn rồi ! lũ thổ_dân mồm_vẩu !
ĐM chúng mày. Thế mà zam làm xã hội thâm.,2,ĐM chúng_mày . Thế_mà zam làm xã_hội thâm .
thể loại ko làm muốn có ăn hở ra chộm cướp,1,thể_loại ko làm muốn có ăn hở ra chộm cướp
"mn ơi vào đây chửi cm thằng trọng tài mù này đi, cay thật sự!! https://www.facebook.com/groups/937323947177598/",2,"mn ơi vào đây chửi cm thằng trọng_tài mù này đi , cay thật_sự ! ! https://ww.facebook.com/groups/937323947177598/"
cái này tại dân... cu hòi húng nó bảo thế :v,0,cái này tại dân .. cu hòi húng nó bảo thế : v
Ok Haha Đúng đóm con nguu như idol đầu bu.ồi giẻ rách của nó vậy :))) xưa nó ở GVR đ có mấy ae giúp đỡ thì nó cũng chỉ là thằng xách nước bổ cam lau dọn ghế cọ nhà vệ sinh trong đấy thôi nhé.,2,Ok Haha Đúng đóm con nguu như idol đầu bu . ồi giẻ_rách của nó vậy :)) xưa nó ở GVR đ có mấy ae giúp_đỡ thì nó cũng chỉ là thằng xách nước_bổ cam_lau dọn ghế_cọ nhà_vệ_sinh trong đấy thôi nhé .
nhớ hkia k cs đàn cánh cụt,0,nhớ hkia k cs đàn cánh cụt
Tin vui cho CSGT để đem về cho người thân không có xe,0,Tin_vui cho CSGT để đem về cho người_thân không có xe
Nếu là người có lòng tự trọng thì hãy tự xin thôi đi. Đừng nhận tiền khi mình không có năng lực. Làm việc không có trách nhiệm và đạo đức. Hãy về đất nước của ông. Ở đây chúng tôi không chào đón ông,0,Nếu là người có lòng tự_trọng thì hãy tự xin thôi đi . Đừng nhận tiền khi mình không có năng_lực . Làm_việc không có trách_nhiệm và đạo_đức . Hãy về đất_nước của ông . Ở đây chúng_tôi không chào_đón ông
Xin lỗi cái ĐB,1,Xin_lỗi cái ĐB
Được đó thầy,0,Được đó thầy
Mấy thằng ngu dốt mà tại sao gọi bọn nó là nhà trí thức ?,2,Mấy thằng ngu dốt mà tại_sao gọi bọn nó là nhà trí_thức ?
Em đang học đánh illoi Mong giao lưu chỉ giáo ạ,0,Em đang học đánh illoi Mong giao_lưu chỉ giáo ạ
Em cũng chúc cả nhà anh chị một kì nghĩ lễ thật vui vẻ ❤️,0,Em cũng chúc cả nhà anh_chị một kì nghĩ lễ thật vui_vẻ ❤_️
Thứ nhất do luật không nghiêm. Thứ 2 rồi đây tình người sẽ mất hết. Botay,0,Thứ nhất do luật không nghiêm . Thứ 2 rồi_đây tình người sẽ mất hết . Botay
dot,1,dot
tây nó tưởng điên trốn trại,1,tây nó tưởng điên_trốn trại
"Cái mỏ giống cá tai tượng quá ,,bởi vậy nó sạo ke cai thứ chửi Việt nam la kg ưa roi",1,"Cái mỏ giống cá tai_tượng quá , , bởi_vậy nó sạo_ke cai_thứ chửi Việt_nam la kg ưa roi"
"Má xem clip xong nhìn xe mình không thấy, giật mình.nghĩ lại thì ra mình bỏ bên nhà hàng xóm",0,"Má xem clip xong nhìn xe mình không thấy , giật_mình . nghĩ_lại thì_ra mình bỏ bên nhà hàng_xóm"
HN Thu Nguyên mấy thằng nhơ bẩn cả nc vn,2,HN Thu_Nguyên mấy thằng nhơ bẩn cả nc vn
thằng ngu nếu ko bồi thường thì đừng có lấy của dân,1,thằng ngu nếu ko bồi_thường thì đừng có lấy của dân
Này acc fake đang bắt trọng tài sao đăng bài đc Má ôi tin nhanh thế,0,Này acc fake đang bắt_trọng_tài sao đăng bài đc Má ôi tin nhanh thế
anh thua top do sai lane chu trinh anh nhu con cac that,2,anh thua top do sai lane chu_trinh anh nhu con cac that
"nói ngu thì tự ái, cãi cùn còn nch thì thích công kích cá nhân. Trình độ học vấn hết cấp2 chưa?",1,"nói ngu thì tự_ái , cãi_cùn còn nch thì thích công_kích cá_nhân . Trình_độ học_vấn hết cấp2 chưa ?"
Mắt ông mù à,1,Mắt ông mù à
bọn nó lột xong còn bỏ cát vào bình xăng với dầu ý . Quá khốn nạn .,1,bọn nó lột xong còn bỏ cát vào bình_xăng với dầu_ý . Quá khốn_nạn .
"Mẫn Đạt Sủa câu biết ngu học =)) đúng là fan bóng đá thời vụ mới nói được những câu này, dell biết nhìn ra mình có gì mà đi chửi HLV",2,"Mẫn Đạt_Sủa câu biết ngu_học =)) đúng là fan bóng_đá thời_vụ mới nói được những câu này , dell biết nhìn ra mình có gì mà đi chửi HLV"
m có thời à,0,m có thời à
DM thằng lồn,2,DM thằng lồn
"Một hlv éo có tâm, cần dẹp gắp, nó không khác gì con sâu mọt đang phá dần bóng đá việt nam",1,"Một hlv éo có tâm , cần dẹp_gắp , nó không khác_gì con sâu_mọt đang phá dần bóng_đá việt_nam"
K phải khen chứ phim dỡ vkl,1,K phải khen chứ phim dỡ vkl
bỏ con mà éo liên quan là sao?,1,bỏ con mà éo liên_quan là sao ?
Acc Fake nha,0,Acc Fake_nha
Lỗi lầm j hả th chó,2,Lỗi lầm_j hả th chó
"giống vcl luôn, đm như 2 giọt nước",1,"giống vcl luôn , đm như 2 giọt nước"
Sory con mẹ mày,2,Sory con mẹ mày
"Dàn dựng để trộm cắp, thanh niên sức dài vai rộng k chịu đi làm, đi ăn cắp, rồi có ngày người ta đánh chết cho .",1,"Dàn dựng để trộm_cắp , thanh_niên sức dài_vai rộng k chịu đi làm , đi ăn_cắp , rồi có ngày người ta đánh chết cho ."
đọc thì đọc cho hết còn k hiểu thì câm và cút.,1,đọc thì đọc cho hết còn k hiểu thì câm và cút .
"Nghiệp dư, con Trâu trắng chứ phù thuỷ trắng mịa gì!",1,"Nghiệp_dư , con Trâu trắng chứ phù_thủy trắng mịa gì !"
Chúng mày đốt luôn đi cũng kệ con mẹ chúng mày,2,Chúng_mày đốt luôn đi cũng kệ con mẹ chúng_mày
Cháu cũng làm con cặc j.,1,Cháu cũng làm con cặc j .
Con nhiều chuyện.mất la đúng rồi,0,Con nhiều_chuyện . mất la đúng rồi
"Một bọn súc vật ,bắt được chặt tay là o giám lần sau.",2,"Một bọn súc_vật , bắt được chặt tay là o giám_lần sau ."
"Bị bắt đạp chế.t thì có đứa vào nói đạo lí, tao khinh",1,"Bị bắt đạp_chế . t thì có đứa vào nói đạo_lí , tao khinh"
Mi bắt v r bh xl thì làm đk méo j nx,1,Mi bắt v r bh xl thì làm đk méo j nx
Thế nó là khách quen của mày hay sao? việc của m à nó chửi bạn tao thì tao binh liên quan gì mày khách hàng thân thiết của m à,0,Thế nó là khách quen của mày hay sao ? việc của m à nó chửi bạn tao thì tao_binh liên_quan gì mày khách_hàng thân_thiết của m à
Bố tk óc chó ngáo đá tưởng vậy là ngầu,2,Bố tk_óc chó ngáo đá tưởng vậy là ngầu
Phạm Vũ nc Anh là trời âu chứ là gì 😄,0,Phạm_Vũ_nc_Anh là trời âu chứ là gì 😄
Xin con cặc mẹ mày. Ok,2,Xin con cặc mẹ mày . Ok
Lolll cha m bán độ mà xin lổi cc j,2,Loll cha m bán_độ mà xin lổi cc j
Năng lực yếu kém. Tư duy bảo thỉ. Xin nghỉ đi,1,Năng_lực yếu_kém . Tư_duy bảo thỉ . Xin nghỉ đi
mực là con Vel'koz kk ilao là con bạch tuộc,0,mực là con Vel'koz kk ilao là con bạch_tuộc
Con chó trọng tài,2,Con chó trọng_tài
Rồi ?,0,Rồi ?
Bao gio ban xoi moi mua lai dc xe,0,Bao gio ban xoi_moi mua lai_dc xe
Sorry cc bắt thẻ như cc ngta,1,Sorry cc bắt thẻ như cc ngta
nghỉ mẹ đi đừng làm trọng trọng tài nữa,1,nghỉ mẹ đi đừng làm trọng_trọng_tài nữa
Nguyễn Quốc Vinh SuBaSan,0,Nguyễn_Quốc_Vinh SuBaSan
Chuẩn bị bay acc ik,0,Chuẩn_bị bay acc ik
Vẫn là bú tương tác :)) hẳn là nói được làm được :)) rẻ rách chưa :)),1,Vẫn là bú tương_tác :)) hẳn là nói được làm được :)) rẻ rách chưa :))
Nguyễn Gia Hiếu m vào đây lm j,0,Nguyễn_Gia_Hiếu m vào đây lm j
Mày hãm l vừa thôi mày công kích tao xong bảo tao công kích cá nhân mày thế chả lẻ mày chửi tao thì tao chửi ai m bị ngơ à,2,Mày hãm l vừa thôi mày công_kích tao xong bảo tao công_kích cá_nhân mày thế chả_lẻ mày chửi tao thì tao chửi ai m bị ngơ à
quao thật là xạo l @@,1,quao thật là xạo l @ @
Pha ke,0,Pha ke
Bạn bè dell gì với cái tk mực rách này,2,Bạn_bè dell gì với cái tk mực rách này
Tham vật chất.chết của cải vật chất phải để lại hết.nhg tội thì mang theo .ko từ bỏ dc,1,Tham_vật_chất . chết của_cải vật_chất phải để lại hết . nhg_tội thì mang theo . ko từ_bỏ dc
Thứ bóng dơ,1,Thứ bóng dơ
Ngoo còn đăng lên khoe nữa,1,Ngoo còn đăng lên khoe nữa
sơ hở là trộm,1,sơ_hở là trộm
Fake cũbg tin :))),0,Fake cũbg tin :))
ngu vcl,1,ngu vcl
ủa vậy Thủ Tướng kỳ này là ai vậy,0,ủa vậy Thủ_Tướng kỳ này là ai vậy
Thằng lồn mày qua việt nam thử có về được ko,2,Thằng lồn mày qua việt_nam thử có về được ko
nhặng đýt :)))),1,nhặng đýt :))
Tinh Trùng Khuyết Tật,2,Tinh_Trùng Khuyết_Tật
Lần tới chừa mê choai nhé cưng,0,Lần tới chừa mê choai nhé cưng
đg r lm như nó là bố thiên hạ ý,1,đg r lm như nó là bố_thiên hạ_ý
Trải qua cảm giác ..a di đà phật,0,Trải qua cảm_giác .. a_di_đà phật
"nó thuê diễn viên vào bắt nạt tôi bạn ạ, cơ mà 2 game nó 4 8, 2 8 k khá lên dc =)))",0,"nó thuê diễn_viên vào bắt_nạt tôi bạn ạ , cơ_mà 2 game nó 4 8 , 2 8 k khá lên dc =))"
ủa lộn tối nhớ k cs con chim cánh cụt nên pressing :)),0,ủa_lộn tối nhớ k cs con chim cánh_cụt nên pressing :))
Lữ Văn Thánh ông trẩu vc,2,Lữ_Văn_Thánh ông trẩu vc
Xin lỗi con mẹ mày à. Xin lỗi thì làm đc con mẹ gì bây giờ. Lúc bắt k bắt công băng mẹ mày luôn đi để giờ đỡ phải xin lỗi,2,Xin_lỗi con mẹ mày à . Xin_lỗi thì làm đc con mẹ gì bây_giờ . Lúc bắt_k bắt công_băng mẹ mày luôn đi để giờ đỡ phải xin_lỗi
Ở thành phố thôi ở Quê thì mày song đời rồi,1,Ở thành_phố thôi ở Quê thì mày song đời rồi
"đỉnh nhất vẫn là \""chiếc khăn gió ấm\""",0,"đỉnh nhất vẫn là \ "" chiếc khăn gió ấm \ """
"Thấy các bạn trẻ bây giờ mà thở dài ngán ngẫm, sinh ra trong thời bình, có điều kiện học hành, nhu cầu tối thiểu cũng đã xa xỉ so với lớp đàn anh, nhưng rồi chẳng nên trò trống gì!",1,"Thấy các bạn trẻ bây_giờ mà thở_dài ngán_ngẫm , sinh ra trong thời_bình , có điều_kiện học_hành , nhu_cầu tối_thiểu cũng đã xa_xỉ so với lớp đàn_anh , nhưng rồi chẳng nên trò trống_gì !"
Họ bị mù mà !!! Tiền che hàng cave đi rồi chúng cơ quan thiểu năng ko thấy đâu,1,Họ bị mù mà ! !_Tiền che hàng cave đi rồi chúng cơ_quan thiểu_năng ko thấy đâu
Mong ông hãy rời khỏi VN,0,Mong ông hãy rời khỏi VN
Khánh Duy share đi cháu 🤣,0,Khánh_Duy_share đi cháu 🤣
nhạc sĩ đa tài và anh chàng tấu hài đẳng cấp,0,nhạc_sĩ đa_tài và anh_chàng tấu hài_đẳng_cấp
Haha mày nhìn ạc này đánh giá hơi vội tao đéo phải loại ở nhà ăn bám không việc làm mà chơi tốc chiến đâu :)),1,Haha mày nhìn ạc này đánh_giá hơi vội tao đéo phải loại ở nhà_ăn bám không việc_làm mà chơi_tốc chiến_đâu :))
lại là dư lợn vin,1,lại là dư lợn vin
xà lơ. Hợp lý cái gì. Cái cty có tư cách gì mà đòi làm việc vs nta. Cty mà làm như cơ quan nhà nước. Lên đây thông cáo báo chí để làm chi. Chắc có cửa để gặp.,0,xà_lơ . Hợp_lý cái gì . Cái cty có tư_cách gì mà đòi làm_việc vs nta . Cty mà làm như cơ_quan nhà_nước . Lên đây thông_cáo báo_chí để làm_chi . Chắc có cửa để gặp .
Nhanh chậm cái con mẹ chúng mày =))),2,Nhanh chậm cái con mẹ chúng_mày =))
Đm thằng ad xamlone,2,Đm thằng ad xamlone
con mẹ mày chửi anh độ,2,con mẹ mày chửi anh độ
Mấy thằng chó đẻ!,2,Mấy thằng chó đẻ !
Tức á ca ko đc,0,Tức á_ca ko đc
"jack thà bỏ con cũng sẽ không bỏ qua việc này. Jack sẽ làm rõ đến cùng , hãy ủng hộ jack :)))",0,"jack thà bỏ con cũng sẽ không bỏ_qua việc này . Jack sẽ làm rõ đến_cùng , hãy ủng_hộ jack :))"
From Bảo Yên with love =))),0,From Bảo_Yên with love =))
Trọng tài bị thái lan chơi ngãi à,0,Trọng_tài bị thái_lan chơi ngãi à
Tui coi đi coi lại chẳng thấy cái gì hết trời,0,Tui coi đi coi lại chẳng thấy cái gì hết trời
sao ô biết hay vậy tôi 2006 đang lớp 12 tích tiền mẹ cho ăn sáng để net net được 70 win cao thủ đơn 220 điểm nếu ô k tin có thể lên lmsslus check ig : phu 206 12c1 #2005,0,sao ô biết hay vậy tôi 2006 đang lớp 12 tích tiền mẹ cho ăn sáng để net net được 70 win cao_thủ đơn 220 điểm nếu ô k tin có_thể lên lmsslus check ig : phu 206 12 c1 # 2005
"mịa, bao nhiều đời đéo dẹp được, ông Thăng lên được mấy tháng thì dẹp thế đéo nào ngay được, nói ngu vl",1,"mịa , bao nhiều đời đéo dẹp được , ông Thăng lên được mấy tháng thì dẹp thế đéo nào ngay được , nói ngu vl"
"xuất cai L, đm quần áo Vn toàn nhập siêu từ TQ hết 70% chứ xuất xuất clm chúng mày",2,"xuất cai_L , đm quần_áo Vn toàn nhập_siêu từ TQ hết 70 % chứ xuất xuất_clm chúng_mày"
Đi WC,0,Đi WC
Đừng làm vậy a ơi,0,Đừng làm_vậy a ơi
may can xuong cua anh tao,1,may can xuong cua anh tao
Nhìn mặt đẹp gái mà cái tính lại xấu xa thế này.,1,Nhìn mặt đẹp gái mà cái tính lại xấu xa thế_này .
Nhìn ngu haiz vãi,1,Nhìn ngu haiz vãi
nguyên cái chữ Fan cứng thế cơ mà,0,nguyên cái chữ Fan cứng thế_cơ mà
k khác dì mấy với bọn thượng đẳng hàn quốc,1,k khác dì mấy với bọn thượng_đẳng hàn_quốc
Tụi thái mua m bao nhiêu vua áo đen bắt như quần trọng tài chính và phụ như quần quề tổ cha tụi,1,Tụi_thái mua m bao_nhiêu vua áo_đen bắt như quần_trọng_tài chính và phụ như quần_quề tổ cha tụi
Thằng nào fan của thằng này dc thì bố m cũng nể :)),1,Thằng nào fan của thằng này dc thì bố m cũng nể :))
Đm train như cuccut mà vô quất 1 hơi 3-0 sợ thật :v,1,Đm train như cuccut mà vô_quất 1 hơi 3-0_sợ thật : v
bắt đc thằmg ngu bị cắn bait này,1,bắt đc thằmg ngu bị cắn bait này
Cho 3 cha con nó vào tù luôn đi,1,Cho 3 cha_con nó vào tù luôn đi
Là là ăn cơm chó,0,Là là ăn cơm chó
1 người mẹ vĩ đại mãi êu,0,1 người mẹ vĩ_đại mãi êu
lm như m chưa bao h chửi=),0,lm như m chưa bao_h chửi = )
Ra ngoài nhìn trước nhìn sau vào,0,Ra ngoài nhìn trước nhìn sau vào
"Fuck, Mẹ mầy nghỉ cầm còi đc rồi đó, chắc nhận một đống tiền từ thái.",2,"Fuck , Mẹ mầy nghỉ cầm còi đc rồi đó , chắc nhận một đống tiền từ thái ."
gác lại chuyện đủ trình k thì bạn bè cái choá gì mà bạn qua mạng thì tin thì vẫn ngáo,1,gác lại chuyện đủ trình k thì bạn_bè cái chóa gì mà bạn qua mạng thì tin thì vẫn ngáo
"Tại ở viêt nam tội trom căp hình phạt còn nhẹ,chứ phạt như bên thái lan đi xem coi còn ai dám k",0,"Tại ở viêt nam_tội trom_căp hình_phạt còn nhẹ , chứ phạt như bên thái_lan đi xem coi còn ai dám k"
ông nói vậy là xúc phạm lồn rồi Mồm thằng này chắc giống cái hố phân ấy chứ,2,ông nói vậy là xúc_phạm lồn rồi Mồm thằng này chắc giống cái hố phân ấy chứ
Cái cc m ak xl cái lol,2,Cái cc m ak xl cái lol
Hat nhu lon 🙂,1,Hat nhu_lon 🙂
Thanh Hoa nhiều cánh hoa tạo nên (Thanh)Hoa,0,Thanh_Hoa nhiều cánh_hoa tạo nên ( Thanh ) Hoa
Xin lỗi đéo làm được gì đâu,1,Xin_lỗi đéo làm được gì đâu
Mẹ nó cái bọn trâu bò này người ta làm kiếm bạc cắt mà nó cũng kô tha,2,Mẹ nó cái bọn trâu_bò này người ta làm kiếm bạc cắt mà nó cũng kô tha
éo thèm nhé =)),1,éo thèm nhé =))
Xinh cụ m,1,Xinh cụ m
Xạo lồn quá chị ba ơi,1,Xạo lồn quá chị ba ơi
Con bóng đũy ăn cứt,2,Con bóng đũy ăn cứt
"Ch.ó mực sủa hay ghê , đánh thì như cc, lại đây bú cặk a a dạy chơi game cho",2,"Ch . ó mực_sủa hay ghê , đánh thì như cc , lại đây bú cặk a_a dạy chơi game cho"
Bố thằng đần,2,Bố thằng đần
Á đù idol ở đây luôn,0,Á đù idol ở đây luôn
Chet me may chua con kkk,2,Chet me may chua con kk
Một pha óc chó của a . ý thức như ruồi của a,2,Một pha_óc chó của a . ý_thức như ruồi của a
vl t đang xem mèo simmu bản sẽ à,0,vl t đang xem mèo simmu bản sẽ à
Sống bằng cacban rồi. :)))) k bị chậm nữa,0,Sống bằng cacban rồi . :))_k bị chậm nữa
Tụi bay nghĩ đó là giọng con gái à? Sai lầm. Nhỏ đó chỉ có tâm hồn con gái thôi. Có cu đó,0,Tụi bay nghĩ đó là giọng con gái à ? Sai_lầm . Nhỏ đó chỉ có tâm_hồn con gái thôi . Có cu đó
Ông ngu chứ cay gì,1,Ông ngu chứ cay gì
"vui ở đây, là thái độ với cách cư xử, có thể thua trong lòng buồn cực, nhưng có chơi có chịu, vẫn phải cư xử bên ngoài vui vẻ người ta mới nể chứ",0,"vui ở đây , là thái_độ với cách cư_xử , có_thể thua trong lòng buồn_cực , nhưng có chơi có chịu , vẫn phải cư_xử bên ngoài vui_vẻ người ta mới nể chứ"
M làm cc j mà đăg cái bài ngu vậy ad? Cho chúg vào chửi ngược à????,2,M làm cc_j mà đăg cái bài ngu vậy ad ? Cho_chúg vào chửi ngược à ? ?
"Ba Lan Chi jack không bao , giờ đạo nhạc",1,"Ba_Lan Chi_jack không bao , giờ đạo_nhạc"
"Loại phản Động phát biểu linh tinh, Việt Nam thống Nhất rồi",2,"Loại phản_Động phát_biểu linh_tinh , Việt_Nam thống_Nhất rồi"
Quốc Khánh Sáng Nguyễn Nguyễn Shaco thằng ngu nhất t từng biết,2,Quốc_Khánh_Sáng Nguyễn_Nguyễn_Shaco thằng ngu nhất t từng biết
Phạm Trần Ngọc Điệp nhưng quan trọng là cty J97 có địa chỉ nhà Vr sao ko qua thẳng làm việc trực tiếp cho nó xong đi còn đăng status làm gì cho nó lòng vòng?,0,Phạm_Trần_Ngọc_Điệp nhưng quan_trọng là cty J97 có địa_chỉ nhà Vr_sao ko qua thẳng làm_việc trực_tiếp cho nó xong đi còn đăng_status làm_gì cho nó lòng_vòng ?
Đã ngèo khó rồi còn ko tha bọn chó cắn áo rách,2,Đã ngèo khó rồi còn ko tha_bọn chó cắn áo rách
Đm bọn chó bán xôi còn đéo tha .,2,Đm bọn chó bán_xôi còn đéo_tha .
Để hình con chó con heo bình tùm bậy tùm bạ.:))) Chửi anti thốn vl,1,Để hình con chó con heo bình_tùm bậy tùm_bạ . :)) Chửi anti_thốn vl
Mới hả mn 😅,0,Mới hả mn 😅
Mẹ Đỹ ruồi phát quang mê cá chà bac của anh jack nên thích có con rơi à,2,Mẹ Đỹ ruồi phát_quang mê cá chà_bac của anh jack nên thích có con rơi à
30p rồi kêu chậm cái dmm,1,30 p rồi kêu chậm cái dmm
Bài đặt,0,Bài đặt
Ayane Harukana.,0,Ayane Harukana .
Ngu vcl,1,Ngu vcl
"Ăn hết bao nhiêu tiền của dân để lo cho dân nhưng lũ mọi rợ này lo cho dân vậy đó,qua tàu rước bao công về chém hết lũ mọi rợ đó đi.",2,"Ăn hết bao_nhiêu tiền của dân để lo cho dân nhưng lũ mọi rợ này lo cho dân vậy đó , qua tàu rước bao_công về chém hết lũ mọi rợ đó đi ."
ngài tỷ phú đây nghe nói cái nóng hết cả cái đầu lên nhỉ=)))),0,ngài tỷ_phú đây nghe nói cái nóng hết cả cái đầu lên nhỉ =))
Chỉ tại con người tiến hoá thành choá,1,Chỉ tại con_người tiến hóa thành chóa
Chuyên môn yếu,1,Chuyên_môn yếu
lớn rồi mà não chứa sạn vs sỏi trong đầu hả :))) coi chừng nó cho đứa con,2,lớn rồi mà não chứa_sạn vs_sỏi trong đầu hả_:)) coi_chừng nó cho đứa con
Người ko ra người.ngợm ko ra ngợm.ý thức thì như đống rác.nhà nước nên bỏ tù những thằng coi thường pháp luật và tính mạng người khác như nó.phạt thật nặng xem nó có im mỏm nó ko.,1,Người ko ra người . ngợm ko ra ngợm . ý_thức thì như đống rác . nhà_nước nên bỏ tù những thằng coi_thường pháp_luật và tính_mạng người khác như nó . phạt thật nặng xem nó có im_mỏm nó ko .
Cái này hả,0,Cái này hả
Dm bọn Việt tân nhé,2,Dm bọn Việt_tân nhé
Cần tao giạy khoá lm trọng tài ko,0,Cần tao giạy khóa lm trọng_tài ko
"top 1 rồi mà, thậm chí 3 acc td hàn top 10 top 20",0,"top 1 rồi mà , thậm_chí 3 acc td hàn_top 10 top 20"
"bộ hàng hải :)) admin ngu đéo chịu đc :)))))))))))) ôi ""bộ hàng hải"" =)))))",1,"bộ hàng_hải :)) admin ngu đéo chịu đc :))_ôi "" bộ hàng_hải "" =))"
